customer_id,recency,frequency,monetary,segments
12855,372,1,38.1,Low Value
12856,7,6,2179.93,High Value
12857,210,2,1106.4,Regular
12863,51,1,521.2,Low Value
12864,137,1,147.12,Low Value
12865,25,2,1568.23,Regular
12866,282,1,559.12,Low Value
12867,25,7,4036.82,High Value
12868,185,6,1607.06,Regular
12871,83,2,380.64,Regular
12872,326,2,599.97,Regular
12873,281,1,374.0,Low Value
12875,142,2,343.23,Regular
12876,57,2,2218.02,Regular
12877,3,12,1535.77,High Value
12878,235,2,854.99,Regular
12879,44,3,573.22,Regular
12881,275,1,298.0,Low Value
12882,8,2,1463.04,Regular
12883,24,4,703.47,Regular
12884,87,1,309.05,Low Value
12885,62,3,1175.22,Regular
12886,67,2,1378.4,Regular
12888,213,2,354.12,Regular
12890,23,1,380.47,Low Value
12891,185,3,331.0,Regular
12893,30,1,188.14,Low Value
12895,41,2,372.8,Regular
12897,204,2,216.5,Regular
12901,8,28,17654.54,High Value
12902,264,1,138.68,Low Value
12904,17,2,509.58,Regular
12906,11,5,2919.81,High Value
12908,175,2,750.0,Regular
12909,39,5,2178.67,Regular
12910,22,8,3075.04,High Value
12912,2,5,1662.3,High Value
12913,4,5,2483.63,High Value
12915,148,2,363.65,Regular
12916,138,4,3006.15,Regular
12917,127,1,594.0,Low Value
12919,7,6,1335.19,High Value
12920,16,1,164.23,Low Value
12921,8,37,16587.09,High Value
12922,160,1,405.38,Low Value
12923,63,1,176.97,Low Value
12924,87,4,933.7,Regular
12925,4,2,694.05,Regular
12928,34,5,2062.7,Regular
12929,311,1,117.85,Low Value
12930,77,2,415.8,Regular
12931,21,15,42055.96,High Value
12933,23,3,607.53,Regular
12935,1,7,2160.7,High Value
12936,16,4,1063.9,Regular
12937,14,4,1504.27,Regular
12938,25,1,114.14,Low Value
12939,63,8,11581.8,Regular
12940,54,2,913.54,Regular
12942,130,3,683.9,Regular
12944,35,2,604.51,Regular
12945,287,1,462.95,Low Value
12947,143,6,1603.99,Regular
12948,15,7,2064.95,High Value
12949,30,8,4167.22,High Value
12950,1,3,1843.0,Regular
12951,8,6,1064.07,High Value
12952,5,4,1387.79,Regular
12953,9,1,329.85,Low Value
12955,0,11,4757.16,High Value
12956,305,1,108.07,Low Value
12957,9,8,4017.54,High Value
12962,6,2,266.39,Regular
12963,7,8,1856.63,High Value
12965,88,1,771.91,Low Value
12966,9,1,160.18,Low Value
12967,357,2,1660.9,Regular
12968,111,1,135.95,Low Value
12970,6,4,452.24,Regular
12971,3,86,11189.91,High Value
12974,197,1,144.8,Low Value
12976,211,1,738.6,Low Value
12977,155,1,39.24,Low Value
12980,157,9,7374.9,Regular
12981,29,2,372.22,Regular
12982,242,1,390.54,Low Value
12984,18,1,97.5,Low Value
12985,0,2,1239.38,Regular
12987,73,2,558.7,Regular
12988,291,1,535.32,Low Value
12989,2,15,6924.11,High Value
12990,30,3,409.5,Regular
12991,22,2,503.76,Regular
12993,22,4,414.76,Regular
12994,3,3,974.42,Regular
12995,84,1,211.32,Low Value
12997,21,4,1226.89,Regular
12999,195,3,455.88,Regular
13000,106,3,534.85,Regular
13001,3,13,9818.82,High Value
13002,317,1,120.95,Low Value
13003,105,3,149.05,Regular
13004,11,18,5655.91,High Value
13005,173,2,513.7,Regular
13006,55,1,81.57,Low Value
13008,322,1,229.47,Low Value
13011,371,1,50.55,Low Value
13012,8,8,1661.84,High Value
13013,0,13,4810.94,High Value
13014,10,10,3466.28,High Value
13015,52,5,3346.28,Regular
13016,72,3,789.89,Regular
13017,6,1,204.0,Low Value
13018,15,28,7277.7,High Value
13021,3,9,2616.38,High Value
13023,63,2,689.9,Regular
13026,0,5,975.36,High Value
13027,113,6,6912.0,Regular
13028,22,2,661.32,Regular
13029,30,3,1247.5,Regular
13030,10,2,799.48,Regular
13032,51,2,1010.18,Regular
13033,356,1,190.55,Low Value
13034,54,2,642.77,Regular
13035,73,2,921.88,Regular
13037,137,3,881.07,Regular
13038,79,3,908.46,Regular
13040,8,2,676.99,Regular
13043,272,1,516.42,Low Value
13044,290,1,560.47,Low Value
13045,98,1,305.28,Low Value
13046,30,2,629.31,Regular
13047,31,10,3237.54,Regular
13048,13,4,1835.91,Regular
13049,63,2,656.68,Regular
13050,14,17,5836.86,High Value
13052,211,1,348.15,Low Value
13055,77,3,1214.41,Regular
13058,24,3,271.4,Regular
13059,249,1,183.4,Low Value
13060,253,1,307.53,Low Value
13061,71,1,248.61,Low Value
13062,190,1,346.98,Low Value
13064,12,4,1119.49,Regular
13065,372,1,205.86,Low Value
13066,23,2,470.8,Regular
13067,81,1,115.46,Low Value
13068,9,2,344.0,Regular
13069,0,24,4436.12,High Value
13070,191,1,228.8,Low Value
13072,266,1,177.15,Low Value
13075,129,1,919.61,Low Value
13077,0,4,729.27,Regular
13078,2,26,12627.94,High Value
13079,3,5,220.1,High Value
13080,178,1,58.08,Low Value
13081,11,11,28337.38,High Value
13082,125,9,3613.63,Regular
13083,3,2,303.75,Regular
13085,157,2,416.08,Regular
13089,2,97,58825.83,High Value
13090,8,14,8910.82,High Value
13091,27,1,345.82,Low Value
13092,70,5,477.83,Regular
13093,275,8,7832.47,Regular
13094,20,12,1927.32,High Value
13095,70,1,74.4,Low Value
13097,32,10,6010.42,Regular
13098,0,28,28882.44,High Value
13099,98,1,207.36,Low Value
13101,233,1,101.19,Low Value
13102,0,24,6424.09,High Value
13103,39,1,243.94,Low Value
13104,2,6,1098.48,High Value
13106,132,1,76.5,Low Value
13107,43,4,1531.62,Regular
13108,372,1,350.06,Low Value
13109,59,2,786.54,Regular
13110,30,7,1488.67,High Value
13113,0,24,12245.96,High Value
13115,11,4,2294.78,Regular
13116,137,1,501.14,Low Value
13117,21,8,984.91,High Value
13118,19,5,1197.81,High Value
13120,238,1,30.6,Low Value
13121,268,1,283.73,Low Value
13122,93,2,922.39,Regular
13124,89,3,3866.33,Regular
13126,4,8,2099.64,High Value
13127,77,1,259.17,Low Value
13130,93,1,64.0,Low Value
13131,22,3,1073.3,Regular
13132,261,1,77.3,Low Value
13133,273,2,109.8,Regular
13134,85,4,1793.58,Regular
13135,196,1,3096.0,Low Value
13136,55,5,2607.61,Regular
13137,10,8,3650.41,High Value
13138,21,6,962.39,High Value
13139,15,7,5064.94,High Value
13140,107,3,423.72,Regular
13141,84,5,2388.75,Regular
13142,18,1,307.09,Low Value
13144,332,1,110.95,Low Value
13145,39,4,618.52,Regular
13146,25,1,228.91,Low Value
13147,9,4,712.8,Regular
13148,28,12,3707.12,High Value
13149,13,4,1676.06,Regular
13151,295,1,1257.87,Low Value
13153,5,1,486.22,Low Value
13155,32,4,971.76,Regular
13157,48,4,1741.22,Regular
13158,94,4,1201.06,Regular
13159,8,4,1437.85,Regular
13160,21,1,91.8,Low Value
13161,312,1,112.75,Low Value
13162,121,4,1688.29,Regular
13165,45,2,1021.48,Regular
13166,282,1,417.2,Low Value
13167,18,4,791.33,Regular
13168,35,4,1319.19,Regular
13169,63,2,712.88,Regular
13170,26,1,116.01,Low Value
13171,21,3,468.41,Regular
13173,3,2,353.65,Regular
13174,15,3,2817.03,Regular
13176,45,1,492.84,Low Value
13177,64,1,282.45,Low Value
13178,25,11,5725.47,High Value
13182,44,1,121.18,Low Value
13183,7,9,3957.78,High Value
13184,14,10,1701.29,High Value
13185,267,1,71.4,Low Value
13186,39,3,1575.89,Regular
13187,336,1,236.02,Low Value
13188,10,1,114.6,Low Value
13189,18,2,260.68,Regular
13192,94,2,911.94,Regular
13193,60,1,117.88,Low Value
13194,135,1,60.7,Low Value
13196,10,4,1797.78,Regular
13198,9,6,3401.24,High Value
13199,3,38,9817.12,High Value
13200,18,4,870.09,Regular
13203,9,4,869.46,Regular
13207,14,2,250.26,Regular
13208,58,6,1223.9,Regular
13209,29,8,5891.61,High Value
13210,93,1,353.48,Low Value
13211,9,3,1197.42,Regular
13212,19,3,788.08,Regular
13213,56,5,1520.58,Regular
13216,267,1,333.74,Low Value
13217,121,3,533.98,Regular
13218,126,1,62.64,Low Value
13220,77,4,819.29,Regular
13221,239,2,847.41,Regular
13223,199,2,163.2,Regular
13224,59,2,2155.95,Regular
13225,2,7,6463.84,High Value
13226,272,1,108.21,Low Value
13227,201,1,257.7,Low Value
13228,80,1,358.0,Low Value
13229,225,1,160.95,Low Value
13230,3,14,2806.97,High Value
13232,12,7,1357.6,High Value
13233,73,2,605.12,Regular
13235,211,1,1031.07,Low Value
13236,24,2,744.85,Regular
13238,16,4,700.73,Regular
13239,261,1,329.56,Low Value
13240,95,4,663.65,Regular
13242,111,3,270.4,Regular
13243,202,1,600.07,Low Value
13244,92,1,121.74,Low Value
13245,50,1,430.5,Low Value
13246,17,6,1987.3,High Value
13247,17,4,501.12,Regular
13248,124,2,465.68,Regular
13249,91,3,711.41,Regular
13253,156,2,1030.4,Regular
13255,8,2,399.51,Regular
13256,13,1,0.0,Low Value
13258,11,3,698.58,Regular
13259,61,1,292.32,Low Value
13260,60,1,557.62,Low Value
13261,268,2,944.1,Regular
13262,262,1,200.29,Low Value
13263,0,35,7454.07,High Value
13265,52,5,2107.66,Regular
13266,10,12,3834.26,High Value
13267,2,19,4521.49,High Value
13268,17,11,3214.69,High Value
13269,0,15,5346.23,High Value
13270,365,1,590.0,Low Value
13271,36,1,217.38,Low Value
13272,30,2,276.56,Regular
13273,112,1,138.98,Low Value
13276,63,2,590.93,Regular
13277,15,4,258.4,Regular
13278,40,1,542.73,Low Value
13279,77,1,137.75,Low Value
13280,121,3,814.86,Regular
13282,17,3,1132.14,Regular
13283,59,2,93.66,Regular
13284,330,1,201.19,Low Value
13285,22,4,2709.12,Regular
13291,155,1,361.11,Low Value
13292,38,2,578.94,Regular
13294,189,2,873.74,Regular
13295,359,1,201.2,Low Value
13296,136,1,87.4,Low Value
13297,7,4,2089.85,Regular
13298,0,1,360.0,Low Value
13299,267,1,142.5,Low Value
13300,168,1,371.89,Low Value
13301,103,4,618.09,Regular
13302,154,1,63.75,Low Value
13304,350,1,300.42,Low Value
13305,3,10,2000.86,High Value
13307,119,1,15.0,Low Value
13308,22,3,1385.51,Regular
13309,6,5,1456.79,High Value
13310,27,3,1132.03,Regular
13311,3,2,598.57,Regular
13313,21,5,1555.32,High Value
13314,1,3,775.94,Regular
13316,36,4,5977.73,Regular
13317,65,6,2273.68,Regular
13318,0,3,640.76,Regular
13319,4,26,10845.55,High Value
13320,77,4,1548.7,Regular
13321,71,2,567.36,Regular
13322,16,1,199.48,Low Value
13323,2,5,787.85,High Value
13324,35,10,7121.95,Regular
13325,81,1,675.3,Low Value
13327,38,8,3627.77,Regular
13328,315,1,1308.48,Low Value
13329,31,2,789.0,Regular
13330,92,3,1140.93,Regular
13332,13,1,350.9,Low Value
13334,81,3,3536.82,Regular
13336,76,1,795.12,Low Value
13338,157,1,487.02,Low Value
13339,200,1,860.12,Low Value
13340,44,7,10736.48,Regular
13341,260,1,775.85,Low Value
13343,177,1,353.43,Low Value
13344,67,3,2543.72,Regular
13345,287,1,389.5,Low Value
13347,69,1,341.36,Low Value
13348,63,1,233.76,Low Value
13349,10,1,247.32,Low Value
13350,15,2,979.12,Regular
13351,65,1,373.94,Low Value
13352,59,1,397.98,Low Value
13354,70,1,743.53,Low Value
13355,121,1,674.7,Low Value
13356,79,1,768.24,Low Value
13357,256,1,609.95,Low Value
13358,268,1,439.03,Low Value
13359,63,1,439.56,Low Value
13362,8,4,3090.74,Regular
13363,17,2,992.5,Regular
13364,70,1,134.96,Low Value
13365,33,2,2225.37,Regular
13366,49,1,56.16,Low Value
13368,256,2,623.4,Regular
13369,365,1,308.28,Low Value
13370,371,1,754.87,Low Value
13372,89,1,378.64,Low Value
13373,60,3,3312.25,Regular
13375,88,1,778.65,Low Value
13376,98,3,1019.76,Regular
13379,25,3,572.56,Regular
13381,31,6,3639.31,Regular
13382,280,1,222.99,Low Value
13384,30,7,4151.93,High Value
13385,329,1,534.57,Low Value
13388,130,2,677.1,Regular
13389,10,3,797.96,Regular
13390,74,1,544.08,Low Value
13391,203,1,59.8,Low Value
13394,1,8,2520.02,High Value
13395,184,1,307.72,Low Value
13396,28,2,1360.99,Regular
13397,72,5,1544.13,Regular
13398,191,1,457.34,Low Value
13402,126,2,621.23,Regular
13403,17,1,75.0,Low Value
13404,0,2,252.49,Regular
13405,73,3,572.451,Regular
13408,1,62,28117.04,High Value
13410,23,5,1003.06,High Value
13411,106,1,213.55,Low Value
13414,133,3,1390.5,Regular
13416,43,2,712.5,Regular
13417,4,2,640.83,Regular
13418,11,18,6127.43,High Value
13419,63,1,221.06,Low Value
13420,149,2,159.85,Regular
13421,39,2,1851.08,Regular
13422,63,1,2626.3,Low Value
13425,107,3,1624.21,Regular
13426,0,10,3641.32,High Value
13427,18,3,582.6,Regular
13428,9,1,218.47,Low Value
13429,10,4,1006.8,Regular
13430,18,2,679.45,Regular
13431,66,2,1269.1,Regular
13434,73,2,534.24,Regular
13435,4,7,3809.89,High Value
13436,1,1,196.89,Low Value
13437,13,7,3408.06,High Value
13439,254,1,283.71,Low Value
13441,91,1,296.64,Low Value
13447,22,3,1129.14,Regular
13448,16,6,3539.37,High Value
13449,23,1,291.88,Low Value
13450,26,6,2043.72,High Value
13451,25,5,2976.15,High Value
13452,258,2,590.0,Regular
13453,165,2,356.98,Regular
13455,24,2,1058.34,Regular
13456,17,6,1766.72,High Value
13458,6,14,9646.57,High Value
13460,28,2,183.44,Regular
13461,38,3,1445.0,Regular
13462,252,1,151.5,Low Value
13464,57,1,674.68,Low Value
13466,183,1,307.9,Low Value
13467,10,2,1083.71,Regular
13468,1,37,5704.97,High Value
13470,98,2,165.0,Regular
13471,0,4,2531.58,Regular
13473,60,2,422.64,Regular
13474,235,1,229.59,Low Value
13475,190,4,1431.78,Regular
13476,178,2,1238.47,Regular
13477,37,6,1454.58,Regular
13479,200,2,300.95,Regular
13481,45,5,1804.56,Regular
13482,231,1,184.64,Low Value
13483,65,1,140.34,Low Value
13484,240,1,313.8,Low Value
13485,232,1,454.24,Low Value
13486,77,3,1122.41,Regular
13487,57,3,575.4,Regular
13488,16,13,8968.31,High Value
13489,104,4,449.52,Regular
13491,51,10,1215.82,Regular
13492,135,3,1269.84,Regular
13493,274,2,618.63,Regular
13494,311,1,316.26,Low Value
13495,7,5,2044.87,High Value
13496,10,2,653.33,Regular
13497,282,2,348.05,Regular
13499,17,5,1159.11,High Value
13500,22,3,1166.77,Regular
13501,287,1,1340.32,Low Value
13502,16,3,292.0,Regular
13503,70,1,216.85,Low Value
13504,63,1,295.93,Low Value
13505,72,4,4393.63,Regular
13506,315,2,458.52,Regular
13507,2,4,2479.16,Regular
13508,243,1,110.97,Low Value
13509,8,7,979.72,High Value
13510,0,4,1791.56,Regular
13512,260,1,251.21,Low Value
13513,126,1,205.1,Low Value
13514,73,1,152.2,Low Value
13515,72,4,891.12,Regular
13516,20,3,1389.41,Regular
13517,59,3,2128.42,Regular
13518,85,1,659.44,Low Value
13519,77,1,122.75,Low Value
13520,58,6,3624.35,Regular
13521,0,3,1093.65,Regular
13522,29,1,125.8,Low Value
